video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Z7wVjKgfd18&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CNN,CNN,Trump: I will solve California drought,49K,7 years,"Donald Trump told voters in Fresno, California that he has a solution to the state's water crisis because there is ""plenty of water.""",2024-01-30 02:48:25.796174
/watch?v=-L_hQCtyyf8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CNN,CNN,California in worst drought in a century,10K,10 years,The state of California is experiencing its worst drought in 100 years.,2024-01-30 02:48:25.797532
/watch?v=qOumqtzc3yo&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CDFAtoday,California Department of Food and Agriculture,Growing California video series: Drought Landscaping,44K,8 years,Many California residents are on a quest to landscape with more drought-resistant plant alternatives to the traditional thirsty grass ...,2024-01-30 02:48:25.799252
/watch?v=Pm0BnYpfB1Q&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABCNews,ABC News,California drought could dry up LA's lawns,8.6K,1 year,Water restrictions could dry out lawns in Los Angeles as the state grapples with a worsening drought. ABC News national radio ...,2024-01-30 02:48:25.800569
/watch?v=UhhGuVfM36I&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@cbssf,KPIX | CBS NEWS BAY AREA,Northern California reservoir stuck in drought despite winter's water wealth,157K,8 months,There's one Northern California reservoir that hasn't rebounded despite this winter's rain and snow. Wilson Walker reports.,2024-01-30 02:48:25.801788
/watch?v=6JQiZ5j2PD0&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Reuters,Reuters,Why weeks of rain in California will not end drought,10K,1 year,"California has been deluged by atmospheric rivers that have dumped up to 30 inches of rain over some areas, but the drought that ...",2024-01-30 02:48:25.803525
/watch?v=3Y-sp-d5g44&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Foxla,FOX 11 Los Angeles,California's drought situation continues to improve,1K,9 months,Just 28% of the state is now under the moderate drought category. Subscribe to FOX 11 Los Angeles: ...,2024-01-30 02:48:25.804857
/shorts/nwBbRfPugqY,/@KQEDSCIENCE,KQED SCIENCE,VIDEO: Watch California’s Drought Shrink in 40 seconds,6.2K,7 years,"California's drought is shrinking amid heavy winter rain storms. The U.S. Drought Monitor's weekly analysis, released on Thursday ...",2024-01-30 02:48:25.806241
/watch?v=puiMbNl8apc&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@CBCTheNational,CBC News: The National,"Rain, flooding won’t end California’s drought",10K,1 year,"California has been inundated with rain since late December, but the state's water shortages are not over. #california ...",2024-01-30 02:48:25.812249
/watch?v=9gLhjzbJfaI&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCBayArea,NBC Bay Area,Massive California Snowpack Good News for Drought But Flood Concerns Grow,105K,9 months,The latest statewide snowpack measurement from the California Department of Water Resources is another indication that the ...,2024-01-30 02:48:25.813614
/watch?v=pZH_GHW4P-c&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@globalnews,Global News,"Extreme drought, wildfires in California strain power grid, leave 2 dead",4.6K,1 year,"California's power grid urged customers to conserve energy for a ninth day in a row on Thursday, as homes and businesses crank ...",2024-01-30 02:48:25.814896
/watch?v=CbhfcnJvShg&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@KTVUFox2,KTVU FOX 2 San Francisco,California water restrictions dropping off as drought recedes,6.2K,9 months,Water companies across California are beginning to loosen drought restrictions as reservoir levels rise. Valley Water in the South ...,2024-01-30 02:48:25.816255
/watch?v=fK3dP508Fnw&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: Dangerous wildfires fueled by historic drought,8.7K,1 year,"California Wildfires: The Mosquito Fire and its dry fuels are the latest example of this historic drought's impact on fuels, make parts ...",2024-01-30 02:48:25.817854
/watch?v=tzS4fZUeUHs&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,"California Drought Map | Lake Shasta water level rises, hits 82% capacity",161K,9 months,"California Drought Map: The only places where drought remains is in the far northern reaches of the state, including Shasta, ...",2024-01-30 02:48:25.819225
/watch?v=nx__MwyQ_ZU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@naturepbs,Nature on PBS,Surviving Climate Change in California's Drought-Stressed Forests,7.1K,6 years,"For California, the last five years have been the hottest and driest in more than a century. As a result, the Carnegie Airborne ...",2024-01-30 02:48:25.820687
/watch?v=QQMFKOJxAHc&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCNews,NBC News,Worsening Drought Forces California Farmers To Make Tough Decisions,13K,2 years,Thousands of acres of farmland are drying up in California as the state is in a drought. Water is scarce and farm employees are left ...,2024-01-30 02:48:25.822036
